I T H SYS.PWR
I T H SYS.CON
I T H SYS.BCON 
I T H SYS.HA 
I T H SYS.HAC 
I T H SYS.CFG 
I T H SYS.HOOD 
I T H SYS.MOTOR 
I T H SYS.DOOR 
I T H SYS.WARM1 
I T H SYS.WARM2 
I T H SYS.WARM3 
I T H SYS.BOX 
I T H SEN.A1 
I T H SEN.A2
I T H SEN.ADIF 
I T H SEN.F1 
I T H SEN.M1
I T H SEN.M2 
I T H SEN.MDIF
I T H SEN.S1A
I T H SEN.S1B 
I T H SEN.S2 
I T H SEN.SDIF 
I T I SEN.SCALE 
I T H AIR.OVH 
I T H MAT.OVH 
I T H SKIN.OVH 
I T H FLOW.OVH 
I T H CTRL.SEN 
I T H SYS.FAN 
I T H UNIT.FAN 
I P H TEMP.DEVH 
I P H TEMP.DEVL 
I P H CTRL.ERR1 
I P H CTRL.ERR2 
I P H CTRL.MAN1 
I P H CTRL.MAN 
I T H SEN.O2_1 
I T H SEN.O2_2 
I T H SEN.O2DIF 
I P H O2.DEVH 
I P H O2.DEVL
I T H LOW.POWER
I T H LIBAT1.HARD
I T H LIBAT2.HARD
I T H LIBAT1.LOW
I T H LIBAT2.LOW
S T H SEN.RAIN SEN 0   //第0位 
S T H RAIN.ERR BFC 0   //BFC透传数据非零即触发报警
S T H RAIN.DF DF 0     //DF透传数据非零即触发报警
S T H RAIN.E0 SYS 0    //SYS透传数据第0位
S T H RAIN.E1 SYS 1    //SYS透传数据第1位
S T H RAIN.E2 SYS 2
S T H RAIN.E3 SYS 3
S T H RAIN.E4 SYS 4
S T H RAIN.E7 SYS 7
S T H RAIN.E8 SYS 8
S T H RAIN.E11 SYS 11
S T H RAIN.E10 SYS 10
S T H RAIN.E12 SYS 12
S T H RAIN.E15 SYS 15
S T H RAIN.E16 SYS 16
S T H RAIN.E17 SYS 17
S T H RAIN.E18 SYS 18
S T H RAIN.E19 SYS 19
S T H RAIN.E21 SYS 21
S T H RAIN.E28 SYS 28
E T H ECG.CON SEN 0
E P H ECG.ASY SEN 1
E P H ECG.VEN SEN 2
E P H ECG.APN SEN 3
N T H NIBP.CON SEN 0
N T H NIBP.SEL SYS 0
W T H WAKE.CON SEN 0
W T H WAKE.ERR SEN 1
P T H PRINT.CON SEN 0
P T H PRINT.ERR SEN 1
S P M SP.OVH HL 0
S P M SP.OVL HL 1
S P M PR.OVH HL 2
S P M PR.OVL HL 3
S P M HB.OVH HL 4
S P M HB.OVL HL 5
S P M OC.OVH HL 6
S P M OC.OVL HL 7
S P M MET.OVH HL 8
S P M MET.OVL HL 9
S P M CO.OVH HL 10
S P M CO.OVL HL 11
S P M PI.OVH HL 12
S P M PI.OVL HL 13
S P M PVI.OVH HL 14
S P M PVI.OVL HL 15
S P L SPO2.LOW HL 16 
I T M SYS.HUMC 
I T M SEN.HUM 
I T M SYS.UPS 
E T M ECG.DROP SEN 4
E T M ECG.VDROP SEN 5
E T M ECG.OV SEN 6
E P M ECG.HRH HL 0
E P M ECG.HRL HL 1
E P M ECG.RRH HL 2
E P M ECG.RRL HL 3
N T M NIBP.CUFF1 SYS 1
N T M NIBP.CUFF2 SYS 2
N T M NIBP.OV1 SYS 3
N T M NIBP.OV2 SYS 4
N T M NIBP.OV3 SYS 5
N T M NIBP.SIG SYS 6
N T M NIBP.ABO SYS 7
N T M NIBP.TYPE SYS 8
N T M NIBP.LEAK SYS 9
N T M NIBP.PRE SYS 10
N T M NIBP.MOV SYS 11
N T M NIBP.HARD SYS 12
N P M NIBP.SH HL 0
N P M NIBP.SL HL 1
N P M NIBP.DH HL 2
N P M NIBP.DL HL 3
N P M NIBP.MH HL 4
N P M NIBP.ML HL 5
C T M CO2.CON SEN 0
C T M CO2.HARD SER 0
C T M CO2.SOFT SER 1
C T M CO2.SPE SER 2
C T M CO2.NCAL SER 3
C T M CO2.CLOG ASR 0
C T M CO2.NCLOG ASR 1
C T M CO2.OUTA DVR 0
C T M CO2.OUTT DVR 1
C T M CO2.OUTP DVR 2
C T M CO2.ZR DVR 3
C T M CO2.ZSD SSR 0
C T M CO2.ZIP SSR 1
C T M CO2.SCF SSR 2
C T M CO2.SCIP SSR 3
P T M PRINT.PAPER SEN 2
C P M CO2.ETH HL 0
C P M CO2.ETL HL 1
C P M CO2.FIH HL 2
C P M CO2.FIL HL 3
C P M CO2.BRH HL 4
C P M CO2.BRL HL 5
I T L SYS.TANK 
I T L SYS.WATER 
I P L HUM.DEVH 
I P L HUM.DEVL  
S T L SP.E0 SP 0
S T I RAIN.E24 SYS 24
S T I RAIN.E20 SYS 20
S T I RAIN.E22 SYS 22
S T I RAIN.E23 SYS 23
S T I RAIN.E26 SYS 26
S T I RAIN.E29 SYS 29
S T I RAIN.E5 SYS 5
S T I RAIN.E9 SYS 9
S T I RAIN.E14 SYS 14
I T I DOOR.OPEN
