33.8-34.8	33.8-34.8	33.7-34.7	33.5-34.5	33.4-34.4	33.3-34.3	33.1-34.1	33.0-34.0	32.8-33.8	32.7-33.7	32.6-33.6	32.4-33.4	32.3-33.3	32.1-33.1	32.0-33.0	31.9-32.9	31.7-32.7	29.5-31.7
33.8-34.8	33.8-34.8	33.6-34.6	33.5-34.5	33.4-34.4	33.2-34.2	33.1-34.1	32.9-33.9	32.8-33.8	32.7-33.7	32.5-33.5	32.4-33.4	32.2-33.2	32.1-33.1	32.0-33.0	31.8-32.8	31.7-32.7	29.5-31.7
33.8-34.8	33.8-34.8	33.6-34.6	33.5-34.5	33.3-34.3	33.2-34.2	33.1-34.1	32.9-33.9	32.8-33.8	32.6-33.6	32.5-33.5	32.4-33.4	32.2-33.2	32.1-33.1	31.9-32.9	31.8-32.8	31.7-32.7	29.5-31.7
33.7-34.7	33.7-34.7	33.6-34.6	33.4-34.4	33.3-34.3	33.2-34.2	33.0-34.0	32.9-33.9	32.7-33.7	32.6-33.6	32.5-33.5	32.3-33.3	32.2-33.2	32.0-33.0	31.9-32.9	31.8-32.8	31.6-32.6	29.5-31.6
33.7-34.7	33.7-34.7	33.6-34.6	33.4-34.4	33.3-34.3	33.1-34.1	33.0-34.0	32.9-33.9	32.7-33.7	32.6-33.6	32.4-33.4	32.3-33.3	32.2-33.2	32.0-33.0	31.9-32.9	31.7-32.7	31.6-32.6	29.5-31.6
33.7-34.7	33.7-34.7	33.5-34.5	33.4-34.4	33.2-34.2	33.1-34.1	33.0-34.0	32.8-33.8	32.7-33.7	32.5-33.5	32.4-33.4	32.3-33.3	32.1-33.1	32.0-33.0	31.8-32.8	31.7-32.7	31.6-32.6	29.5-31.6
33.6-34.6	33.6-34.6	33.5-34.5	33.4-34.4	33.2-34.2	33.1-34.1	32.9-33.9	32.8-33.8	32.7-33.7	32.5-33.5	32.4-33.4	32.2-33.2	32.1-33.1	32.0-33.0	31.8-32.8	31.7-32.7	31.5-32.5	29.5-31.5
33.6-34.6	33.6-34.6	33.5-34.5	33.3-34.3	33.2-34.2	33.0-34.0	32.9-33.9	32.8-33.8	32.6-33.6	32.5-33.5	32.3-33.3	32.2-33.2	32.1-33.1	31.9-32.9	31.8-32.8	31.6-32.6	31.5-32.5	29.5-31.5
33.6-34.6	33.6-34.6	33.4-34.4	33.3-34.3	33.2-34.2	33.0-34.0	32.9-33.9	32.7-33.7	32.6-33.6	32.5-33.5	32.3-33.3	32.2-33.2	32.0-33.0	31.9-32.9	31.8-32.8	31.6-32.6	31.5-32.5	29.5-31.5
33.5-34.5	33.5-34.5	33.4-34.4	33.3-34.3	33.1-34.1	33.0-34.0	32.8-33.8	32.7-33.7	32.6-33.6	32.4-33.4	32.3-33.3	32.1-33.1	32.0-33.0	31.9-32.9	31.7-32.7	31.6-32.6	31.4-32.4	29.5-31.4
33.5-34.5	33.5-34.5	33.4-34.4	33.2-34.2	33.1-34.1	33.0-34.0	32.8-33.8	32.7-33.7	32.5-33.5	32.4-33.4	32.3-33.3	32.1-33.1	32.0-33.0	31.8-32.8	31.7-32.7	31.6-32.6	31.4-32.4	29.5-31.4
33.5-34.5	33.5-34.5	33.3-34.3	33.2-34.2	33.1-34.1	32.9-33.9	32.8-33.8	32.6-33.6	32.5-33.5	32.4-33.4	32.2-33.2	32.1-33.1	31.9-32.9	31.8-32.8	31.7-32.7	31.5-32.5	31.4-32.4	29.5-31.4
33.5-34.5	33.5-34.5	33.3-34.3	33.2-34.2	33.0-34.0	32.9-33.9	32.8-33.8	32.6-33.6	32.5-33.5	32.3-33.3	32.2-33.2	32.1-33.1	31.9-32.9	31.8-32.8	31.6-32.6	31.5-32.5	31.4-32.4	29.5-31.4
33.4-34.4	33.4-34.4	33.3-34.3	33.1-34.1	33.0-34.0	32.9-33.9	32.7-33.7	32.6-33.6	32.5-33.5	32.3-33.3	32.2-33.2	32.0-33.0	31.9-32.9	31.7-32.7	31.6-32.6	31.5-32.5	31.3-32.3	29.5-31.3
33.4-34.4	33.4-34.4	33.3-34.3	33.1-34.1	33.0-34.0	32.8-33.8	32.7-33.7	32.6-33.6	32.4-33.4	32.3-33.3	32.1-33.1	32.0-33.0	31.9-32.9	31.7-32.7	31.6-32.6	31.4-32.4	31.3-32.3	29.5-31.3
33.4-34.4	33.4-34.4	33.2-34.2	33.1-34.1	32.9-33.9	32.8-33.8	32.7-33.7	32.5-33.5	32.4-33.4	32.2-33.2	32.1-33.1	32.0-33.0	31.8-32.8	31.7-32.7	31.5-32.5	31.4-32.4	31.3-32.3	29.5-31.3
33.3-34.3	33.3-34.3	33.2-34.2	33.1-34.1	32.9-33.9	32.8-33.8	32.6-33.6	32.5-33.5	32.4-33.4	32.2-33.2	32.1-33.1	31.9-32.9	31.8-32.8	31.7-32.7	31.5-32.5	31.4-32.4	31.2-32.2	29.5-31.2
33.3-34.3	33.3-34.3	33.2-34.2	33.0-34.0	32.9-33.9	32.7-33.7	32.6-33.6	32.5-33.5	32.3-33.3	32.2-33.2	32.0-33.0	31.9-32.9	31.8-32.8	31.6-32.6	31.5-32.5	31.3-32.3	31.2-32.2	29.5-31.2
33.3-34.3	33.3-34.3	33.1-34.1	33.0-34.0	32.9-33.9	32.7-33.7	32.6-33.6	32.4-33.4	32.3-33.3	32.2-33.2	32.0-33.0	31.9-32.9	31.7-32.7	31.6-32.6	31.5-32.5	31.3-32.3	31.2-32.2	29.5-31.2
